Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2011,Audi,Q5,2.0T Premium quattro,SUV,automatic,wa1cfafp0ba060079,az,43,61055,black,black,gm financial,20000,22700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2012,Audi,A6,2.0T Premium,Sedan,automatic,waudfafc4cn072007,ca,39,27223,black,brown,pacific porsche,27200,28250,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium,Sedan,automatic,wauafafl4cn001330,ca,5,39139,black,black,aaero sweet corporation,18400,19750,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
2014,Audi,A7,Premium Plus quattro,Sedan,automatic,wauwgafc2en020254,fl,47,14851,white,black,tdaf remarketing,51800,54000,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
2003,Audi,TT,180hp,Coupe,automatic,trusc28n331015687,fl,25,113495,silver,black,audi south orlando,4425,4900,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2005,Audi,A8,quattro,Sedan,automatic,waull44e35n004410,fl,21,124453,silver,black,mercedes benz of sarasota,6750,5700,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
2015,Audi,A3,1.8 TFSI Premium Plus,Sedan,automatic,wauccgff7f1026958,ga,49,3974,gray,black,jim ellis,25600,25200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2007,Audi,A4,2.0T,Sedan,automatic,wauaf78e77a131164,ca,19,95037,black,black,wells fargo dealer services,7000,6100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2007,Audi,Q7,3.6 quattro,SUV,automatic,wa1ay74l07d033880,ca,19,104507,black,black,santander consumer,11250,11000,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2007,Audi,A4,2.0T quattro,Sedan,automatic,waudf78ex7a175317,ca,26,95612,silver,black,acura of serramonte,7300,6700,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2008,Audi,A8,L quattro,Sedan,automatic,waumv94e88n008243,pa,31,82198,black,brown,philadelphia fcu,18450,16400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium,Sedan,automatic,waujf78k89n046464,ca,19,93900,silver,black,santander consumer,10700,8500,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2009,Audi,A6,3.0T quattro,Sedan,automatic,wausg74f39n016007,tx,37,95564,silver,black,cm investments,14000,13100,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,waulf78k09n030879,ca,33,102416,white,black,wells fargo dealer services,9750,10400,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,wausf78kx9n013678,ca,29,125999,silver,black,onemain rem/executive car leasing,8450,7900,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,waulf78k59n018419,ca,22,64198,black,black,century dealer services corp,13550,12000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2006,Audi,A8,quattro,Sedan,automatic,waull44e76n021762,mn,39,82867,black,black,meridian remarketing,11850,12900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2012,Audi,A6,2.0T Premium,Sedan,automatic,waudfafc6cn150724,nv,49,30308,white,black,gaudin jaguar porsche of las vegas,26600,28250,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2012,Audi,Q5,2.0T Premium quattro,SUV,automatic,wa1lfafp8ca112981,mi,49,38358,black,gray,kevins marysville auto sales inc,28700,30000,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,wauffafl8ca047708,nj,41,36601,black,gray,freehold dodge inc,22500,25200,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,wauffafl3dn048145,va,4,21050,red,black,shirlie slack mitsubishi,26800,27100,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
2003,Audi,TT,180hp,Convertible,automatic,trutc28nx31005632,az,19,82494,blue,tan,jpmorgan chase bank n.a.,5950,3800,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2004,Audi,TT,225hp quattro,Convertible,manual,truut28n841006428,nv,34,70890,black,black,henderson hyundai superstore,9625,9400,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
