Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2002,Saab,9-3,SE,convertible,automatic,ys3df78k027005393,nc,3,142989,beige,brown,richmond bmw crown mini of richmond,1025,1400,Thu May 28 2015 07:00:00 GMT-0700 (PDT)
2006,Saab,9-3,2.0T SportCombi,wagon,automatic,ys3fd59y461108539,ca,25,80140,blue,gray,consumer portfolio services,3825,3600,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2007,Saab,9-3,2.0T,sedan,automatic,ys3fd49y771105419,ma,29,41586,white,gray,capital one auto finance,5400,6300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2003,Saab,9-3,SE,convertible,manual,ys3df75k837003168,nc,22,155644,gray,gray,metro honda,1600,700,Wed May 27 2015 07:00:00 GMT-0700 (PDT)
2003,Saab,9-3,Arc,sedan,automatic,ys3fd49y531051919,fl,21,117091,gray,gray,wayne akers ford inc,1825,2000,Thu May 28 2015 03:42:00 GMT-0700 (PDT)
2011,Saab,9-3,2.0T,sedan,automatic,ys3fa4cy9b1300870,az,33,59650,black,gray,gm financial,9025,8300,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
2006,Saab,9-3,Aero,convertible,manual,ys3fh76u866101579,ca,32,41552,blue,beige,tom griffiths autos wholesale,7325,10000,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
2005,Saab,9-2X,Aero,wagon,automatic,jf4gg22645h057598,nv,35,106336,green,gray,kapitolia auto llc,3725,4000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2008,Saab,9-3,2.0T,convertible,automatic,ys3fb79y286002422,tx,41,67290,silver,black,capital one fleet,8425,8700,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2005,Saab,9-2X,Linear,wagon,automatic,jf4gg61655h056338,ny,29,38275,silver,gray,adk auto brokers inc,2900,4000,Thu Jun 18 2015 02:45:00 GMT-0700 (PDT)
2005,Saab,9-2X,Linear,wagon,automatic,jf4gg61655h052726,fl,38,125744,silver,—,courtesy kia of brandon,1750,3500,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT)
2006,Saab,9-3,Aero SportCombi,wagon,automatic,ys3fh51u061117560,ma,22,138107,blue,gray,elmwood chrysler dodge jeep ram,3075,3300,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2006,Saab,9-3,Aero,convertible,automatic,ys3fh71u966004348,tx,24,104981,silver,gray,david mcdavid honda of frisco,4900,4600,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
2006,Saab,9-3,2.0T,convertible,automatic,ys3fd79y466004616,ca,36,92177,black,gray,trade in solutions irvine,4050,5500,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2009,Saab,9-7X,4.2i,suv,automatic,5s3et13s392800996,ma,28,113384,black,tan,metro kia of raynham,6550,6100,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
2002,Saab,9-3,SE,convertible,automatic,ys3df78k027008746,fl,19,69916,blue,gray,autonation chevrolet fort lauderdale,2625,3100,Tue Jun 16 2015 10:30:00 GMT-0700 (PDT)
