Year,Make,Model,Trim,Body,Transmission,VIN,State,Condition,Odometer,Color,Interior,Seller,MMR,SellingPrice,SaleDate
2007,GMC,Envoy,SLE,suv,automatic,1gkds13s572286428,ca,4,98737,black,black,honda world,5050,6000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2007,GMC,Yukon XL,Denali,suv,automatic,1gkfk66807j333568,tx,28,148005,black,black,fairway ford henderson,13000,13700,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2006,GMC,Envoy,SLE,suv,automatic,1gkdt13s562116002,ca,29,141090,blue,gray,courtesy chevrolet center,4150,3300,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2005,GMC,Sierra 1500,Base,regular cab,automatic,1gtec14x45z131672,nj,47,99716,gray,gray,joshua motor car co inc,5075,6500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2005,GMC,Envoy,SLT,suv,automatic,1gkds13sx52381256,tx,31,123623,silver,gray,rii,4400,4100,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
2003,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66u13j239321,ca,19,159438,black,beige,first credit finance,4825,2250,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2004,GMC,Envoy XL,SLE,SUV,automatic,1gket16s346235348,nj,2,231829,silver,beige,l k auto sales inc,975,500,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2004,GMC,Envoy,SLE,SUV,automatic,1gkdt13s142282594,pa,23,147131,gray,gray,credit acceptance corp/vrs/southfield,3025,1900,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2004,GMC,Yukon,Denali,SUV,automatic,1gkek63u64j236125,va,2,145646,white,gray,wells fargo dealer services,6175,4400,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2003,GMC,Envoy,SLT,SUV,automatic,1gkds13s532192821,tx,28,191080,silver,gray,ford-lincoln dealer program,1650,2800,Thu Jan 15 2015 06:00:00 GMT-0800 (PST)
2003,GMC,Yukon,Denali,SUV,automatic,1gkek63u13j290799,nj,1,139883,white,gray,wells fargo dealer services-tra,5725,3500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2003,GMC,Envoy XL,SLE,SUV,automatic,1gket16s136203738,fl,21,137587,red,gray,germain toyota of naples/germain scion of naples,3450,1800,Wed Jan 14 2015 08:00:00 GMT-0800 (PST)
2003,GMC,Sonoma,SLS,Extended Cab,automatic,1gtdt19x238258735,nj,21,184612,blue,black,autolenders liquidation center,2075,2500,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2003,GMC,Sierra 1500,Base,Extended Cab,automatic,2gtec19t031276347,ca,23,131863,gray,gray,remarketing by ge/america first credit union,5200,5500,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
2004,GMC,Sierra 1500,SLE,Extended Cab,automatic,2gtec19v941279542,tx,2,144515,black,black,titlemax/windcrest tx1,4350,2700,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2002,GMC,Sierra 1500,SL,Extended Cab,automatic,1gtek19tx2e157141,oh,19,172902,blue,black,wright-patt credit union,4175,2500,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2002,GMC,Yukon,Denali,SUV,automatic,1gkek63u12j288811,wa,28,149649,white,gray,remarketing by ge/archibalds inc,4125,4800,Wed Jan 14 2015 04:00:00 GMT-0800 (PST)
2002,GMC,Envoy,SLT,SUV,automatic,1gkdt13s622134468,pa,27,153432,blue,gray,credit acceptance corp/vrs/southfield,2725,1900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2002,GMC,Yukon,SLE,SUV,automatic,1gkec13z72r327169,sc,33,176624,black,tan,rick hendrick chevrolet,3600,3100,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2002,GMC,Envoy,SLE,SUV,automatic,1gkdt13s422112016,pa,19,290515,gold,gray,credit acceptance corp/vrs/southfield,675,1050,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2002,GMC,Yukon XL,1500 SLE,SUV,automatic,1gkfk16z82j218110,pa,2,136204,red,gray,credit acceptance corp/vrs/southfield,3525,2700,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2002,GMC,Yukon,SLE,SUV,automatic,1gkek13z72j281926,nj,3,184421,gray,gray,lester glenn buick,2975,3750,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2001,GMC,Yukon XL,1500 SLE,SUV,automatic,1gkfk16t01j292387,co,19,195157,white,beige,texas car title and payday loan services inc,2350,1800,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2005,GMC,Envoy XL,SLE,SUV,automatic,1gket16s856104787,pa,19,101847,silver,gray,credit acceptance corp/vrs/southfield,5325,1550,Tue Jan 20 2015 05:01:00 GMT-0800 (PST)
2006,GMC,Envoy,SLT,SUV,automatic,1gkds13s862172227,tx,35,144451,white,gray,texas direct auto,2325,5100,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
2006,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66u36j119086,nj,19,108111,gray,gray,wells fargo dealer services,9100,9300,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2005,GMC,Yukon,Denali,SUV,automatic,1gkek63u75j263481,md,19,161011,gray,gray,darcars kia,5875,3800,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2005,GMC,Envoy XL,SLE,SUV,automatic,1gket16s756128885,ma,23,109996,green,—,united auto credit/irvine,4875,3000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2005,GMC,Sierra 1500,SLE,Crew Cab,automatic,2gtek13t351144584,oh,35,117449,silver,gray,pauley motor car co preowned vehicles llc,11300,11700,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2005,GMC,Envoy,SLT,SUV,automatic,1gkdt13s052271149,tn,28,95824,black,black,dt credit corporation,4300,6600,Tue Jan 13 2015 10:30:00 GMT-0800 (PST)
2005,GMC,Yukon,Fleet,SUV,automatic,1gkec13v15r126661,fl,2,152818,white,gray,germain toyota of naples/germain scion of naples,4850,4200,Wed Jan 21 2015 08:45:00 GMT-0800 (PST)
2005,GMC,Safari,Base,Minivan,automatic,1gkdm19x65b503737,az,22,117642,white,gray,bhfc financial services inc,3525,2150,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2001,GMC,Yukon,SLE,SUV,automatic,1gkek13tx1r142921,fl,26,189027,white,tan,autonation ford fort lauderdale,2900,3700,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2005,GMC,Sierra 1500,SLE,Crew Cab,automatic,2gtek13t751180925,mo,26,188096,white,gray,remarketing by ge/meritrust credit union,7275,6000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2005,GMC,Envoy,SLE,SUV,automatic,1gkdt13s752261962,va,2,180275,black,beige,dt credit corporation,1475,1400,Thu Jan 15 2015 01:05:00 GMT-0800 (PST)
2005,GMC,Yukon,SLE,SUV,automatic,1gkec13t35r141192,tx,35,139792,white,gray,dt credit corporation,5575,7000,Wed Jan 14 2015 02:00:00 GMT-0800 (PST)
2005,GMC,Yukon XL,1500 SLE,SUV,automatic,1gkfk16z55j198645,oh,38,71842,gold,tan,pauley motor car co preowned vehicles llc,8175,12600,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2004,GMC,Sierra 1500,Base,Extended Cab,automatic,2gtek19t341158958,tx,21,178633,white,gray,texas direct auto,5525,4700,Wed Jan 14 2015 02:20:00 GMT-0800 (PST)
2004,GMC,Yukon,SLE,SUV,automatic,1gkec13z74r144843,fl,1,161116,silver,gray,remarketing by ge/penair fcu,4850,1900,Tue Jan 13 2015 09:15:00 GMT-0800 (PST)
